Material_Name,Curie_Temperature_K,Neel_Temperature_K,Curie_Weiss_Constant,Crystal_Structure,Lattice_Structure,Lattice_Parameters,Space_Group,Coercivity_Oe,Magnetic_Moment_μB_R,Saturation_Magnetization_emu_g,Remanent_Magnetization_emu_g,Magnetic_Susceptibility,DOI,Experimental
BaFe12O19,710.0,,,,,,,,,3583,,,10.1016/j.jmmm.2008.03.012,TRUE
DyMn6Sn6,397.0,,,66-,,"{'a': '5.521', 'c': '9.014'}",6,,"Dy: 9.97 μB, Mn: 12.66 μB",,,,10.1016/j.jmmm.2004.06.027,TRUE
Gd4Sb3,266.0,,304,-34,,{'a': '9.2328(2)'},43,,7.37 μB per Gd,,,,10.1016/S0304-8853(01)00391-2,TRUE
Gd4Bi3,332.0,,347,-34,,{'a': '9.3906(3)'},43,,7.28 μB per Gd,,,,10.1016/S0304-8853(01)00391-2,TRUE
SrFe12O19,749.15,,,,,,,,,404.76,,,10.1016/j.jmmm.2006.01.110,TRUE
SrGa5In0.8Fe6.2O19,429.15,,,,,,,,,16,,,10.1016/j.jmmm.2006.01.110,TRUE
Fe3O4,850.0,,,,,"{'a': '8.396', 'b': '8.396', 'c': '8.396'}",-3,,,,,,10.1016/j.jmmm.2015.06.034,FALSE
La0.8Ce0.2Fe11.2Co0.3Si1.5C0.2,239.0,,,13-,,{'a': '11.4576'},,,,,,,10.1016/j.jmmm.2017.11.047,TRUE
La0.8Ce0.2Fe11.0Co0.5Si1.5C0.2,253.0,,,13-,,{'a': '11.4544'},,,,,,,10.1016/j.jmmm.2017.11.047,TRUE
La0.8Ce0.2Fe10.8Co0.7Si1.5C0.2,277.0,,,13-,,{'a': '11.4536'},,,,,,,10.1016/j.jmmm.2017.11.047,TRUE
PbMn0.9Fe0.1BO4,34.2,,434245,,,"{'a': '6.77', 'b': '5.94', 'c': '8.58'}",,220,"{'mu_a': '4.75 μB', 'mu_b': '4.71 μB', 'mu_c': '4.45 μB'}",2.67..4.2,,,10.1016/j.jmmm.2019.165997,TRUE
PbMnBO4,30.3,,49,,,"{'a': '6.77', 'b': '5.94', 'c': '8.58'}",,50,,4..,,,10.1016/j.jmmm.2019.165997,TRUE
PbFeBO4,,115.0,,,,,,,,,,,10.1016/j.jmmm.2019.165997,TRUE
PbCrBO4,,8.3,,,,,,,,,,,10.1016/j.jmmm.2019.165997,FALSE
La0.75Sr0.25MnO3,340.0,,,,,,,,,,,,10.1016/j.jmmm.2020.166593,FALSE
La0.67Sr0.33Mn0.9Fe0.1O3,266.0,,,,,,,,,,,,10.1016/j.jmmm.2020.166593,FALSE
La0.7Sr0.3Mn0.9Ti0.1O3,210.0,,,,,,,,,,,,10.1016/j.jmmm.2020.166593,FALSE
La0.65Eu0.05Sr0.3Mn0.95Cr0.05O3,338.0,,,,,,,,,,,,10.1016/j.jmmm.2020.166593,FALSE
La0.75Eu0.05Sr0.2MnO3,305.0,,,,,,,,,,,,10.1016/j.jmmm.2020.166593,FALSE
La0.67Ca0.33Mn0.9Co0.1O3,170.0,,,,,,,,,,,,10.1016/j.jmmm.2020.166593,FALSE
Co50Cr22.6Al13.7Si13.9,564.0,,,21,,,,,2.51 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co50Cr24.6Al12.5Si12.9,531.0,,,21,,,,,2.59 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co50Cr26.2Al11.1Si12.7,509.0,,,21,,,,,2.56 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co50.2Cr27.2Al11.1Si11.5,462.0,,,21,,,,,2.39 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co49.8Cr28.9Al10.4Si10.9,413.0,,,21,,,,,2.25 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co50.6Cr23.0Al13.4Si13.0,540.0,,,21,,,,,2.57 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co50.7Cr24.8Al11.8Si12.7,499.0,,,21,,,,,2.49 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co51.2Cr27.4Al10.0Si11.4,434.0,,,21,,,,,2.29 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co51.9Cr23.6Al12.2Si12.3,503.0,,,21,,,,,2.58 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co51.8Cr26.0Al10.8Si11.4,459.0,,,21,,,,,2.54 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co53.2Cr21.1Al12.8Si12.9,403.0,,,21,,,,,2.55 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co53.0Cr22.1Al13.2Si11.7,468.0,,,21,,,,,2.47 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co53.2Cr25.0Al11.1Si10.7,504.0,,,21,,,,,2.44 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co52.9Cr27.3Al9.5Si10.3,345.0,,,21,,,,,2.19 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co53.7Cr21.8Al12.0Si12.5,457.0,,,21,,,,,2.53 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co54.7Cr24.0Al10.9Si10.4,345.0,,,21,,,,,2.20 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co54.9Cr21.0Al11.9Si12.2,443.0,,,21,,,,,2.63 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co55.1Cr23.1Al11.2Si10.6,429.0,,,21,,,,,2.42 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
Co55.1Cr24.6Al10.7Si9.6,373.0,,,21,,,,,2.15 μB/f.u.,,,,10.1016/j.jmmm.2019.166311,TRUE
LuFeO3,,130.0,,,,"{'a': '5.9417', 'b': '5.9417', 'c': '11.7341'}",63,,,,,,10.1016/j.jmmm.2017.05.052,TRUE
LuFe0.95Ni0.05O3,,130.0,,,,"{'a': '5.9573', 'b': '5.9573', 'c': '11.7200'}",63,,,,,,10.1016/j.jmmm.2017.05.052,TRUE
Sr2FeMoO6,415.0,,415,,,"{'a': '5.5793', 'b': '5.5750', 'c': '7.9290'}",21,,3.0 μB/f.u.,1.0..5,,,10.1016/j.jmmm.2006.07.016,TRUE
Sr2FeMoO6,415.0,,415,,,"{'a': '5.57212', 'b': '5.57212', 'c': '7.9053'}",4,,3.0 μB/f.u.,3.0..5,,,10.1016/j.jmmm.2006.07.016,TRUE
Mn1.5Mg0.5BO4,,16.0,,,,,21,,6.30 μB/f.u.,,,,10.1016/j.jmmm.2020.166820,TRUE
Mn1.4Mg0.6BO4,,14.0,,,,,21,,6.08 μB/f.u.,,,,10.1016/j.jmmm.2020.166820,TRUE
Mn1.3Mg0.7BO4,,13.0,,,,,21,,5.96 μB/f.u.,,,,10.1016/j.jmmm.2020.166820,TRUE
Mn2BO4,,26.0,,,,,21,,7.68 μB/f.u.,,,,10.1016/j.jmmm.2020.166820,FALSE
Zr16Co77Nb1Si3B3,723.15,,,,,,,3.3,,52,,,10.1016/j.jmmm.2018.12.112,TRUE
Zr16Co78Si3B3,723.15,,,,,,,1.75,,54,,,10.1016/j.jmmm.2018.12.112,TRUE
Zr16Co76Nb2Si3B3,723.15,,,,,,,2.21,,42,,,10.1016/j.jmmm.2018.12.112,TRUE
Zr16Co75Nb3Si3B3,723.15,,,,,,,1.42,,40,,,10.1016/j.jmmm.2018.12.112,TRUE
Zr2Co11,773.15,,,,,,,,,,,,10.1016/j.jmmm.2018.12.112,FALSE
La0.2Gd0.5Ba0.3MnO3,,,129,,,"{'a': '5.503', 'b': '5.504', 'c': '7.780'}",,,7.24 μB/f.u.,,,,10.1016/j.jmmm.2017.06.121,TRUE
La0.7Sr0.3MnO3,360.0,,,,,,,,,,,,10.1016/j.jmmm.2017.06.121,FALSE
La0.7Ba0.3MnO3,340.0,,,,,,,,,,,,10.1016/j.jmmm.2017.06.121,FALSE
Nd0.95Dy0.05CrO3,,219.0,-139.62,,,"{'a': '5.4149', 'b': '5.4826', 'c': '7.6860'}",,,5.69 μB,,,,10.1016/j.jmmm.2020.167015,TRUE
Nd0.80Dy0.20CrO3,,206.0,-84.87,,,"{'a': '5.3973', 'b': '5.4901', 'c': '7.6729'}",,,7.38 μB,,,,10.1016/j.jmmm.2020.167015,TRUE
Ni2MnBO5,78.0,,,,,"{'a': '9.17', 'b': '12.31', 'c': '2.9978'}",,,,,,,10.1016/j.jmmm.2021.168747,TRUE
Cu2MnBO5,92.0,,,,,"{'a': '9.39', 'b': '12.02', 'c': '3.14'}",,,,,,,10.1016/j.jmmm.2021.168747,TRUE
Fe3BO5,93.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168747,FALSE
Co3BO5,42.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168747,FALSE
Fe74.5Nb2Si17.5B5Cu1,745.65,,,,,,,,,,,,10.1016/j.jmmm.2014.12.058,TRUE
Gd5Y2Pd3,262.0,,,,73-,"{'a': '9.9659', 'c': '6.2735'}",63,,,2.1,,,10.1016/j.jmmm.2021.168829,TRUE
Gd4Y3Pd3,242.0,,,,73-,"{'a': '9.9494', 'c': '6.2764'}",63,,,3.3,,,10.1016/j.jmmm.2021.168829,TRUE
Gd3Y4Pd3,202.0,,,,73-,"{'a': '9.9407', 'c': '6.2937'}",63,,,3.6,,,10.1016/j.jmmm.2021.168829,TRUE
Gd2Y5Pd3,153.0,,,,73-,"{'a': '9.9202', 'c': '6.2909'}",63,,,3.8,,,10.1016/j.jmmm.2021.168829,TRUE
GdY6Pd3,9.0,,,,52-,{'a': '13.6154'},,,,1,,,10.1016/j.jmmm.2021.168829,TRUE
Gd6YPd3,115.0,,,,73-,,,,,,,,10.1016/j.jmmm.2021.168829,TRUE
Zn0.0Co1.0Fe2O4,793.0,,,,-,{'a': '8.3900'},3,,2.7 μB,,,,10.1016/j.jmmm.2018.02.001,TRUE
Zn1.0Co0.0Fe2O4,,9.0,,,-,{'a': '8.4300'},3,,1.8 μB,,,,10.1016/j.jmmm.2018.02.001,TRUE
Pr20Nd80Y10Fe77.97M2.46B5.73,591.0,,,214,,,,8.85,,1.50,12.84,,10.1016/j.jmmm.2019.165901,TRUE
Pr20Nd80Y9Ce1Fe77.97M2.46B5.73,589.0,,,214,,,,,,,,,10.1016/j.jmmm.2019.165901,TRUE
La0.225Pr0.4Ca0.375MnO3,123.0,170.0,183,,,,,502752,,,41231343,,10.1016/j.jmmm.2016.02.022,TRUE
Nd0.67Ba0.33MnO3,145.0,,143.24,,,"{'a': '5.4950', 'b': '7.7672', 'c': '5.5199'}",-,333.71,4.21 μB,,,,10.1016/j.jmmm.2021.168980,TRUE
Nd0.67Ba0.33Mn0.9Cr0.1O3,163.0,,163.08,,,"{'a': '5.4886', 'b': '7.7558', 'c': '5.5157'}",-,366.84,4.03 μB,,,,10.1016/j.jmmm.2021.168980,TRUE
Nd0.67Ba0.33Mn0.9Co0.1O3,137.0,,137.05,,,"{'a': '5.4873', 'b': '7.7534', 'c': '5.5114'}",-,2749.14,4.09 μB,,,,10.1016/j.jmmm.2021.168980,TRUE
Nd0.67Ba0.33Mn0.9Ni0.1O3,147.0,,147.76,,,"{'a': '5.4826', 'b': '7.7475', 'c': '5.5049'}",-,890.03,4.16 μB,,,,10.1016/j.jmmm.2021.168980,TRUE
Sr0.8La0.2Fe11.8Co0.2O19,694.15,,,-,,"{'a': '5.875 nm', 'c': '22.996 nm'}",,331.7,,65.4,,,10.1016/j.jmmm.2015.06.005,TRUE
Sr0.7La0.3Fe11.7Co0.3O19,694.15,,,-,,"{'a': '5.877 nm', 'c': '22.964 nm'}",,348.2,,62.6,,,10.1016/j.jmmm.2015.06.005,TRUE
Nd0.67Ba0.33MnO3,110.0,,,,,"{'a': '3.886', 'b': '3.886', 'c': '3.910'}",,,0.26,,,,10.1016/j.jmmm.2012.12.030,TRUE
Nd0.67Ba0.33MnO3,105.0,,,,,"{'a': '3.886', 'b': '3.886', 'c': '3.886'}",,,0.36,,,,10.1016/j.jmmm.2012.12.030,TRUE
Nd0.67Ba0.33MnO3,114.6,,,,,"{'a': '3.886', 'b': '3.886', 'c': '3.923'}",,,0.51,,,,10.1016/j.jmmm.2012.12.030,TRUE
Nd0.67Ba0.33MnO3,108.45,,,,,"{'a': '3.886', 'b': '3.886', 'c': '3.963'}",,,0.81,,,,10.1016/j.jmmm.2012.12.030,TRUE
CoMnGe0.95Ga0.05B0.015,269.0,,,,-1,"{'a': '4.079', 'b': '4.079', 'c': '5.304'}",63,,,,,,10.1016/j.jmmm.2013.11.022,TRUE
CoMnGe0.94Ga0.06B0.015,274.0,,,,-1,"{'a': '4.081', 'b': '4.081', 'c': '5.313'}",63,,,,,,10.1016/j.jmmm.2013.11.022,TRUE
CoMnGe0.95Ga0.05,303.0,,,,,,63,,,,,,10.1016/j.jmmm.2013.11.022,FALSE
NdYFe17,335.0,,,,217-,,-3,,,152,,,10.1016/j.jmmm.2020.166989,TRUE
Y3Fe5O12,559.0,,,,,"{'a': '12.376', 'b': '12.376', 'c': '12.376'}",-3,,,,,,10.1016/S0304-8853(01)00346-8,TRUE
Gd1.5Y0.5NiSi3,,11.5,8.53,2,,"{'a': '3.976', 'c': '4.082'}",6,,7.82 μB/Gd,,,,10.1016/j.jmmm.2019.04.021,TRUE
GdYNiSi3,,7.2,6.56,2,,"{'a': '3.971', 'c': '4.070'}",6,,7.83 μB/Gd,,,,10.1016/j.jmmm.2019.04.021,TRUE
Gd0.5Y1.5NiSi3,,3.1,-1.32,2,,"{'a': '3.966', 'c': '4.058'}",6,,7.86 μB/Gd,,,,10.1016/j.jmmm.2019.04.021,TRUE
Co2MnSi,985.0,,,21,,,,,,,,,10.1016/j.jmmm.2006.10.919,TRUE
K2FeCl5⋅H2O,,14.1,,,,,,,,,,,10.1016/j.jmmm.2022.169302,TRUE
Rb2FeCl5⋅H2O,,10.1,,,,,,,,,,,10.1016/j.jmmm.2022.169302,TRUE
LaFe11.65Si1.35,213.0,,,13-,,,,,,137,,,10.1016/j.jmmm.2017.10.123,TRUE
Nd0.5Sr0.5MnO3,197.0,150.0,,,,"{'a': '0.543 nm', 'b': '0.548 nm', 'c': '0.764 nm'}",,,0.82 μB/Mn,1353,,,10.1016/j.jmmm.2019.166116,TRUE
Fe70Al5P11Ga5B4C5,600.0,,,,,,,8,,,,1100,10.1016/j.jmmm.2006.02.162,TRUE
Fe73Al5P11Ga2B4C5,600.0,,,,,,,8,,,,1100,10.1016/j.jmmm.2006.02.162,TRUE
Fe75Al5P11B4C5,600.0,,,,,,,8,,,,1100,10.1016/j.jmmm.2006.02.162,TRUE
Y3Fe5O12,550.0,,,,,"{'a': '12.376', 'b': '12.376', 'c': '12.376'}",-3,,,,,,10.1016/j.jmmm.2018.08.018,FALSE
LaFeO3,,738.0,,,,"{'a': '5.5506', 'b': '5.5785', 'c': '7.8473'}",,,,,,,10.1016/j.jmmm.2017.03.066,TRUE
La2Fe14B,530.15,,,,,,,,,,,,10.1016/j.jmmm.2022.169257,FALSE
Ce2Fe14B,430.15,,,,,,,,,,,,10.1016/j.jmmm.2022.169257,FALSE
Pr2Fe14B,565.15,,,,,,,,,,,,10.1016/j.jmmm.2022.169257,FALSE
Nd2Fe14B,585.15,,,,,,,,,,,,10.1016/j.jmmm.2022.169257,FALSE
La0.125Ca0.875MnO3,,110.0,,,,,,,,,,,10.1016/j.jmmm.2019.04.086,FALSE
La0.67Sr0.33MnO3,369.0,,,,,,,,,,,,10.1016/j.jmmm.2019.04.086,FALSE
La0.45Sr0.55MnO3,200.0,,,,,,,,,,,,10.1016/j.jmmm.2019.04.086,FALSE
La0.35Pr0.275Ca0.375MnO3,215.0,,,,,,,,,,,,10.1016/j.jmmm.2019.04.086,FALSE
Nd0.5Sr0.5MnO3,,155.0,,,,,,,,,,,10.1016/j.jmmm.2019.04.086,FALSE
La0.87Sr0.13MnO3,195.0,,,,,,,,,,,,10.1016/j.jmmm.2019.04.086,FALSE
Li0.6Co0.1Dy0.0Fe2.3O4,884.0,,194.4,,,,,,,,,,10.1016/j.jmmm.2004.01.096,TRUE
Li0.6Co0.1Dy0.05Fe2.25O4,840.0,,181.9,,,,,,,,,,10.1016/j.jmmm.2004.01.096,TRUE
Li0.6Co0.1Dy0.075Fe2.225O4,859.0,,185.5,,,,,,,,,,10.1016/j.jmmm.2004.01.096,TRUE
Li0.6Co0.1Dy0.1Fe2.2O4,820.0,,177,,,,,,,,,,10.1016/j.jmmm.2004.01.096,TRUE
Li0.6Co0.1Dy0.125Fe2.175O4,787.0,,171.6,,,,,,,,,,10.1016/j.jmmm.2004.01.096,TRUE
Li0.6Co0.1Dy0.15Fe2.15O4,777.0,,167.9,,,,,,,,,,10.1016/j.jmmm.2004.01.096,TRUE
Li0.6Co0.1Dy0.175Fe2.125O4,673.0,,145.9,,,,,,,,,,10.1016/j.jmmm.2004.01.096,TRUE
CoFe2O4,793.0,,,,,,,,,,,,10.1016/j.jmmm.2004.01.096,FALSE
Ge0.818Sn0.182Mn0.027Te,,,26.6,,3,"{'a': '8.451', 'c': '10.66'}",3,227,,,0.23,,10.1016/j.jmmm.2021.168695,TRUE
Ge0.77Sn0.183Mn0.047Te,7.8,,25.6,,3,"{'a': '8.461', 'c': '10.59'}",3,160,,,0.16,,10.1016/j.jmmm.2021.168695,TRUE
Ge0.755Sn0.184Mn0.061Te,13.6,,40.6,,3-3,"{'a': '8.459', 'c': '10.58'}",3-3,17,,,4.5,,10.1016/j.jmmm.2021.168695,TRUE
Ga0.8Mn0.2As,200.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168695,FALSE
Ge0.8Mn0.2Te,200.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168695,FALSE
FeGe0.95Si0.05,250.0,,,,,,,,,,,,10.1016/j.jmmm.2021.167976,TRUE
Cr86Ru14,,300.0,,,,,,,,,,,10.1016/j.jmmm.2006.10.234,TRUE
Cd0.975Cr0.025Te,409.0,,,,,"{'a': '6.48', 'b': '6.48', 'c': '6.48'}",43,,"−3.874 μB (Cr), −0.002 μB (Cd), 0.007 μB (Te)",,,,10.1016/j.jmmm.2018.07.033,FALSE
Cd0.97Cr0.03Te,686.0,,,,,"{'a': '6.48', 'b': '6.48', 'c': '6.48'}",43,,"−3.869 μB (Cr), −0.002 μB (Cd), 0.009 μB (Te)",,,,10.1016/j.jmmm.2018.07.033,FALSE
Cd0.96Cr0.04Te,684.0,,,,,"{'a': '6.48', 'b': '6.48', 'c': '6.48'}",43,,"−3.858 μB (Cr), −0.003 μB (Cd), 0.012 μB (Te)",,,,10.1016/j.jmmm.2018.07.033,FALSE
Cd0.95Cr0.025V0.025Te,312.0,,,,,"{'a': '6.48', 'b': '6.48', 'c': '6.48'}",43,,"3.928 μB (Cr), 2.630 μB (V), 0.003 μB (Cd), −0.013 μB (Te)",,,,10.1016/j.jmmm.2018.07.033,FALSE
Cd0.94Cr0.03V0.03Te,354.0,,,,,"{'a': '6.48', 'b': '6.48', 'c': '6.48'}",43,,"3.922 μB (Cr), 2.630 μB (V), 0.004 μB (Cd), −0.016 μB (Te)",,,,10.1016/j.jmmm.2018.07.033,FALSE
Cd0.92Cr0.04V0.04Te,414.0,,,,,"{'a': '6.48', 'b': '6.48', 'c': '6.48'}",43,,"3.913 μB (Cr), 2.631 μB (V), 0.005 μB (Cd), −0.022 μB (Te)",,,,10.1016/j.jmmm.2018.07.033,FALSE
Mn2.7Fe0.3Sn2,254.0,,,,,"{'a': '7.523', 'b': '5.481', 'c': '8.536'}",,,4.83 μB/f.u.,,,,10.1016/j.jmmm.2021.168466,TRUE
Mn2.3Fe0.7Sn2,261.0,,,,,"{'a': '7.487', 'b': '5.459', 'c': '8.494'}",,,4.95 μB/f.u.,,,,10.1016/j.jmmm.2021.168466,TRUE
Gd,295.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168466,FALSE
LaFe11.4Si1.6,207.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168466,FALSE
TbCo1.9Fe0.1,303.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168466,FALSE
NiFeCoCrPd0.25,225.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168466,FALSE
Mn0.94Sb0.06CoGe,263.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168466,FALSE
Mn3Sn2,262.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168466,FALSE
Gd3Fe5O12,562.0,,,,,,,,,,,,10.1016/j.jmmm.2018.10.083,TRUE
Sm2Co7,670.0,,,,,,,,10.1 μB per formula unit,,,,10.1016/j.jmmm.2020.167208,FALSE
Ce2Co7,50.0,,,,,,,,0.9 μB per formula unit,,,,10.1016/j.jmmm.2020.167208,FALSE
Ga0.987Mn0.013P,35.0,,,,,,,,,,,,10.1016/j.jmmm.2017.11.124,TRUE
Ga0.987Mn0.013P0.991Zn0.009,20.0,,,,,,,,,,,,10.1016/j.jmmm.2017.11.124,TRUE
LaFe11.0Co0.5Si1.5C0.2,275.0,,,,,,,,,,,,10.1016/j.jmmm.2012.06.032,TRUE
LaFe10.87Co0.63Si1.5C0.2,298.0,,,,,,,,,,,,10.1016/j.jmmm.2012.06.032,TRUE
LaFe10.7Co0.8Si1.5C0.2,311.0,,,,,,,,,,,,10.1016/j.jmmm.2012.06.032,TRUE
LaFe10.65Co0.85Si1.5C0.2,321.0,,,,,,,,,,,,10.1016/j.jmmm.2012.06.032,TRUE
Mn3GaC,250.0,,,,,{'a': '3.894'},3,,,,,,10.1016/j.jmmm.2013.05.057,TRUE
TbCo0.2Ni1.8B2C,,10.2,,,,,,,7.6 μB,4.190,,,10.1016/j.jmmm.2013.01.044,TRUE
TbCo0.4Ni1.6B2C,,7.65,,,,,,,3.7 μB,7.690,,,10.1016/j.jmmm.2013.01.044,TRUE
TbCo0.6Ni1.4B2C,,7.6,,,,,,,8.5 μB,7.790,,,10.1016/j.jmmm.2013.01.044,TRUE
TbCo0.8Ni1.2B2C,5.9,,,,,,,,8.7 μB,7.690,,,10.1016/j.jmmm.2013.01.044,TRUE
TbCo2B2C,6.6,,,,,,,,7.6 μB,7.290,,,10.1016/j.jmmm.2013.01.044,TRUE
La0.67Ca0.33MnO3,263.0,,,,,,,,,,,,10.1016/S0304-8853(01)00155-X,TRUE
La0.67Ca0.33Mn0.95Cr0.05O3,224.0,,,,,,,,,,,,10.1016/S0304-8853(01)00155-X,TRUE
La0.67Ca0.33Mn0.9Cr0.1O3,208.0,,,,,,,,,,,,10.1016/S0304-8853(01)00155-X,TRUE
La0.67Ca0.33Mn0.85Cr0.15O3,202.0,,,,,,,,,,,,10.1016/S0304-8853(01)00155-X,TRUE
La0.67Ca0.33Mn0.8Cr0.2O3,195.0,,,,,,,,,,,,10.1016/S0304-8853(01)00155-X,TRUE
La0.67Ca0.33Mn0.7Cr0.3O3,175.0,,,,,,,,,,,,10.1016/S0304-8853(01)00155-X,TRUE
Co0.33Ni0.67O,,418.15,,-,,,,370,,,,,10.1016/j.jmmm.2018.10.102,TRUE
BaFe11.9Al0.1O19,705.0,,,,63,"{'a': '5.8899', 'c': '23.1972'}",63,,,49.6,,,10.1016/j.jmmm.2015.05.076,TRUE
BaFe11.7Al0.3O19,700.0,,,,63,"{'a': '5.8854', 'c': '23.1756'}",63,,,,,,10.1016/j.jmmm.2015.05.076,TRUE
BaFe11.4Al0.6O19,690.0,,,,63,"{'a': '5.8846', 'c': '23.1719'}",63,,,,,,10.1016/j.jmmm.2015.05.076,TRUE
BaFe11.1Al0.9O19,680.0,,,,63,"{'a': '5.8809', 'c': '23.1686'}",63,,,,,,10.1016/j.jmmm.2015.05.076,TRUE
BaFe10.8Al1.2O19,670.0,,,,63,"{'a': '5.8700', 'c': '23.1268'}",63,,,32,,,10.1016/j.jmmm.2015.05.076,TRUE
Gd5Ge4,,127.0,94,,,"{'a': '7.6959', 'b': '14.8290', 'c': '7.7847'}",,19,7.45 μB,190,,,10.1016/j.jmmm.2013.04.002,TRUE
La0.33Sr0.67MnO3,190.9,,225.19,,,"{'a': '5.4742', 'b': '5.4742', 'c': '13.3507'}",-3,181.61106.69300,,38.641017.09300,,,10.1016/j.jmmm.2014.04.063,TRUE
La0.33Sr0.67Mn0.98Fe0.02O3,183.24,,235.44,,,"{'a': '5.4764', 'b': '5.4764', 'c': '13.3568'}",-3,228.951013.85300,,32.171010.14300,,,10.1016/j.jmmm.2014.04.063,TRUE
La0.9Pb0.1MnO3,225.0,,241.2,,3,"{'a': '0.54nm', 'b': '0.54nm', 'c': '1.33nm'}",167,,,,,,10.1016/S0304-8853(01)00573-X,TRUE
La0.5Pb0.5MnO3,355.0,,,,3,"{'a': '0.54nm', 'b': '0.54nm', 'c': '1.33nm'}",167,,,,,,10.1016/S0304-8853(01)00573-X,TRUE
La0.67Ca0.33MnO3,261.0,,,,,"{'a': '5.4690', 'b': '5.4568', 'c': '7.7044'}",,,,,,,10.1016/j.jmmm.2004.04.121,TRUE
La0.64Ho0.03Ca0.33MnO3,226.0,,,,,"{'a': '5.4692', 'b': '5.4569', 'c': '7.7057'}",,,,,,,10.1016/j.jmmm.2004.04.121,TRUE
Ni0.9385V0.0615,318.0,,,,,,,,,6-8,,,10.1016/j.jmmm.2016.11.049,TRUE
Ni0.722Cu0.278,318.0,,,,,,,,,6-8,,,10.1016/j.jmmm.2016.11.049,TRUE
Ni0.948Mo0.052,318.0,,,,,,,,,6-8,,,10.1016/j.jmmm.2016.11.049,TRUE
Ni0.892Ga0.108,318.0,,,,,,,,,6-8,,,10.1016/j.jmmm.2016.11.049,TRUE
ErFe2,590.0,,,15,,{'a': '7.285'},-3,,,,,,10.1016/j.jmmm.2020.167018,TRUE
MgFe2O4,563.15,,,,,{'a': '0.83567 nm'},-3,9.1,,5.50,0.17,,10.1016/j.jmmm.2015.05.029,TRUE
MgFe2O4,603.15,,,,,{'a': '0.83824 nm'},-3,12.53,,16.8,0.38,,10.1016/j.jmmm.2015.05.029,TRUE
MgFe2O4,633.15,,,,,{'a': '0.83880 nm'},-3,82.13,,18.5,1.87,,10.1016/j.jmmm.2015.05.029,TRUE
MgFe2O4,638.15,,,,,{'a': '0.83947 nm'},-3,98.37,,33.0,4.42,,10.1016/j.jmmm.2015.05.029,TRUE
La0.7Ca0.3MnO3,270.0,,,,,"{'a': '5.4575', 'b': '7.7057', 'c': '5.4771'}",,,3.50 μB,,,,10.1016/S0304-8853(01)01002-2,TRUE
La0.7Cd0.3MnO3,90.0,,,,-3,"{'a': '5.4832', 'c': '13.3202'}",-3,,1.59 μB,,,,10.1016/S0304-8853(01)01002-2,TRUE
La1.2Sr1.8Mn2O7,126.0,,,,,"{'a': '0.387 nm', 'b': '0.387 nm', 'c': '2.014 nm'}",4,,,,,,10.1016/j.jmmm.2005.09.034,TRUE
Dy,89.0,180.0,,,,"{'a': '3.600', 'b': '3.600', 'c': '5.666'}",63,,,,,,10.1016/j.jmmm.2016.02.045,TRUE
Dy0.98Y0.02,79.0,175.5,,,,"{'a': '3.606', 'b': '3.606', 'c': '5.676'}",63,,,,,,10.1016/j.jmmm.2016.02.045,TRUE
Dy0.95Y0.05,65.0,172.0,,,,"{'a': '3.607', 'b': '3.607', 'c': '5.675'}",63,,,,,,10.1016/j.jmmm.2016.02.045,TRUE
Ho2CoMnO6,83.0,,82,,,"{'a': '5.228', 'b': '5.581', 'c': '7.469'}",21,5328,,11.64..,2.0..,,10.1016/j.jmmm.2021.168476,TRUE
Ho1.9Sm0.1CoMnO6,87.0,,86,,,"{'a': '5.239', 'b': '5.573', 'c': '7.479'}",21,5160,,11.0..,2.2..,,10.1016/j.jmmm.2021.168476,TRUE
