Material_Name,Curie_Temperature_K,Neel_Temperature_K,Curie_Weiss_Constant,Crystal_Structure,Lattice_Structure,Lattice_Parameters,Space_Group,Coercivity_Oe,Magnetic_Moment_μB_R,Saturation_Magnetization_emu_g,Remanent_Magnetization_emu_g,Magnetic_Susceptibility,DOI,Experimental
YbRh2Si2,,0.07,,,,,,,,,,-,10.1016/j.jmmm.2003.11.036,TRUE
YBaCo2O5.5,300.0,,,,,,,,,,,,10.1016/j.jmmm.2014.01.049,FALSE
CoO,,293.0,,...,,,,,,,,,10.1016/j.jmmm.2008.02.063,TRUE
Eu2Ti2O7,,,-1.35,,,,-3,,0.679 μB,,,,10.1016/j.jmmm.2018.04.060,TRUE
La0.85Ag0.15MnO3.10,246.0,,,,3,"{'a': '5.5281 (300 K), 5.5170 (4 K)', 'c': '13.3590 (300 K), 13.3175 (4 K)'}",3,,3.37 μB (4 K),,,,10.1016/j.jmmm.2019.166192,TRUE
LaMnO3,,140.0,,,,"{'a': '5.507 (300 K), 5.523 (4 K)', 'b': '7.836 (300 K), 7.777 (4 K)', 'c': '5.494 (300 K), 5.482 (4 K)'}",,,,,,,10.1016/j.jmmm.2019.166192,FALSE
SmFeO3,,708.0,,,,"{'a': '0.54 nm', 'b': '0.56 nm', 'c': '0.77 nm'}",,,,,,,10.1016/j.jmmm.2017.04.054,TRUE
ThFe11C1.5,419.0,,434,11,,,4,,2.00 μB per Fe atom,15.26..5,,,10.1016/S0304-8853(02)00439-0,TRUE
ThFe11C1.8,512.0,,526,11,,,4,,1.88 μB per Fe atom,22.00..5,,,10.1016/S0304-8853(02)00439-0,TRUE
Er2O3,,3.3,-10.2,,,{'a': '10.55'},,,6.68 μB/Er3+,,,,10.1016/j.jmmm.2014.05.026,TRUE
Dy2O3,,1.2,,,,,,,,,,,10.1016/j.jmmm.2014.05.026,FALSE
Yb2O3,,2.3,,,,,,,,,,,10.1016/j.jmmm.2014.05.026,FALSE
La0.6Ca0.4MnO3,250.0,,,,,"{'a': '5.436', 'b': '7.673', 'c': '5.442'}",,,3.1 μB,,,,10.1016/S0304-8853(01)00495-4,TRUE
ScFe4Al8,,250.0,,-,,"{'a': '860 pm', 'c': '499 pm'}",4,,1.08 μB at 8K,,,,10.1016/j.jmmm.2003.11.238,TRUE
La0.75Sr0.25MnO3,367.0,,,,,"{'a': '5.5053', 'b': '5.5053', 'c': '13.3864'}",,,,,,,10.1016/j.jmmm.2017.11.126,TRUE
La0.67Ba0.33MnO3,266.0,,,,,{'a': '3.912'},,,,,,,10.1016/j.jmmm.2008.06.004,TRUE
La0.6Ca0.4MnO3,269.0,,261,,,"{'a': '5.463', 'b': '7.697', 'c': '5.450'}",,,6.21 μB,3.3,,,10.1016/j.jmmm.2018.01.084,TRUE
La0.6Ca0.3Ag0.1MnO3,267.0,,265,,,"{'a': '5.472', 'b': '7.724', 'c': '5.459'}",,,6.56 μB,3.5,,,10.1016/j.jmmm.2018.01.084,TRUE
ErAl2,12.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167207,TRUE
Er2O3,,3.4,,,,,,,,,,,10.1016/j.jmmm.2020.167207,FALSE
GdCu,,145.0,,,,,,,,,,,10.1016/j.jmmm.2017.04.005,TRUE
GdZn,270.0,,,,,,,,,,,,10.1016/j.jmmm.2017.04.005,TRUE
GdGa,200.0,,,,,,,,,,,,10.1016/j.jmmm.2017.04.005,TRUE
GdCd,265.0,,,,,,,,,,,,10.1016/j.jmmm.2017.04.005,TRUE
GdMg,120.0,,,,,,,,,,,,10.1016/j.jmmm.2017.04.005,TRUE
Gd4Co3,213.5,,,,,,,,8.26 μB per Gd atom,,,,10.1016/j.jmmm.2012.09.002,TRUE
Gd6Co4.85,219.0,,,,,,,,,,,,10.1016/j.jmmm.2012.09.002,FALSE
Gd4Co3,220.0,,,,,,,,,,,,10.1016/j.jmmm.2012.09.002,FALSE
TmPtIn,,3.5,6.5,-,,"{'a': '7.594', 'c': '3.769'}",62,,5.59 μB,4.51.725,,,10.1016/j.jmmm.2010.02.005,TRUE
YbPtIn,,3.4,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,FALSE
SmPtIn,25.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,FALSE
GdPtIn,89.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,FALSE
DyPtIn,38.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,FALSE
HoPtIn,23.5,,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,FALSE
ErPtIn,8.5,,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,FALSE
TbPtIn,,50.0,,,,,,,,,,,10.1016/j.jmmm.2010.02.005,FALSE
ZnO,175.0,,,,,{'c': '0.5217 nm'},63,,,,,,10.1016/j.jmmm.2016.06.007,TRUE
Zn0.95Fe0.05O,300.0,,,,,{'c': '0.5193 nm'},63,70,,,,,10.1016/j.jmmm.2016.06.007,TRUE
Zn0.92Al0.03Fe0.05O,300.0,,,,,{'c': '0.5193 nm'},63,70,,,,,10.1016/j.jmmm.2016.06.007,TRUE
Mn2FeSbO6,,268.0,,,-,"{'a': '5.226', 'c': '14.325'}",-3,,3.7 μB/f.u.,,,,10.1016/j.jmmm.2012.11.040,TRUE
Mn2FeSbO6,,264.0,,,-,"{'a': '5.237', 'c': '14.349'}",-3,,4.35 μB/f.u.,63.12,,,10.1016/j.jmmm.2012.11.040,TRUE
Y2CrMnO6,33.0,,-40,,21,"{'a': '5.229', 'b': '5.603', 'c': '7.448'}",21,16.251,6.788 μB/f.u.,,7.89,,10.1016/j.jmmm.2020.167276,TRUE
Y2CrMnO6,74.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167276,FALSE
